batch_id,calibration*mic,config,configVer,data*LAeq,data*co2,data*humidity,data*humidityRH,data*no2,dataNoise0,dataNoise1,dataNoise10,dataNoise11,dataNoise12,dataNoise13,dataNoise14,dataNoise15,dataNoise16,dataNoise17,dataNoise18,dataNoise19,dataNoise2,dataNoise20,dataNoise21,dataNoise22,dataNoise23,dataNoise24,dataNoise25,dataNoise26,dataNoise27,dataNoise28,dataNoise29,dataNoise3,dataNoise30,dataNoise31,dataNoise32,dataNoise33,dataNoise34,dataNoise35,dataNoise36,dataNoise37,dataNoise38,dataNoise39,dataNoise4,dataNoise40,dataNoise41,dataNoise42,dataNoise43,dataNoise44,dataNoise45,dataNoise46,dataNoise47,dataNoise48,dataNoise49,dataNoise5,dataNoise50,dataNoise51,dataNoise52,dataNoise53,dataNoise54,dataNoise55,dataNoise56,dataNoise57,dataNoise58,dataNoise59,dataNoise6,dataNoise60,dataNoise61,dataNoise62,dataNoise63,dataNoise64,dataNoise65,dataNoise66,dataNoise67,dataNoise68,dataNoise69,dataNoise7,dataNoise70,dataNoise71,dataNoise72,dataNoise73,dataNoise74,dataNoise75,dataNoise76,dataNoise8,dataNoise9,data*particles,data*temperature,data*temperatureTC,location,measured_time,meta*no2*gaz,meta*no2*lifetime,meta*no2*serial,meta*noise*gain,meta*noise*offset,meta*noise*sensibility,meter_code,park_code,serial,timestamp,version
181027103032,,SOLIHULL_20181003,181003150447,6556,,35844,62.367004394531,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,20,15,21,39,41,55,80,96,105,0,102,103,84,67,37,13,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824,20112,7.075791015625,"52.408861,-1.825003",2018-10-27 10:15:00+00:00,,,,,,,521,220,800044,1989-03-03 10:15:00,1
181027104532,,SOLIHULL_20181003,181003150447,6579,,36920,64.419311523438,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,14,0,15,15,22,28,33,31,40,64,88,97,0,120,109,88,55,39,20,5,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2829,19888,6.475185546875,"52.408861,-1.825003",2018-10-27 10:30:00+00:00,,,,,,,521,220,800044,1989-03-03 10:30:00,1
181027110035,,SOLIHULL_20181003,181003150447,6651,,37336,65.212768554688,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,0,11,29,18,20,28,29,46,49,61,86,0,80,110,100,101,54,34,17,2,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730,19788,6.2070581054686995,"52.408861,-1.825003",2018-10-27 10:45:00+00:00,,,,,,,521,220,800044,1989-03-03 10:45:00,1
181027113029,,SOLIHULL_20181003,181003150447,6662,,37240,65.029663085938,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,0,15,18,23,31,32,38,39,44,55,83,0,75,93,85,101,75,56,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4554,19768,6.1534326171875,"52.408861,-1.825003",2018-10-27 11:00:00+00:00,,,,,,,521,220,800044,1989-03-03 11:00:00,1
181027113029,,SOLIHULL_20181003,181003150447,6756,,37284,65.11358642578101,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,5,32,37,29,27,32,40,64,88,0,91,107,93,103,58,32,25,8,6,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3669,19812,6.2714086914063,"52.408861,-1.825003",2018-10-27 11:15:00+00:00,,,,,,,521,220,800044,1989-03-03 11:15:00,1
181027114530,,SOLIHULL_20181003,181003150447,6613,,37376,65.2890625,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,17,11,20,37,33,49,41,50,63,91,0,86,106,118,75,27,34,17,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3468,19804,6.2499584960937,"52.408861,-1.825003",2018-10-27 11:30:00+00:00,,,,,,,521,220,800044,1989-03-03 11:30:00,1
181027121530,,SOLIHULL_20181003,181003150447,6614,,38328,67.104858398438,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,9,19,23,45,42,17,44,53,70,85,0,82,121,95,85,52,23,19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168,19852,6.3786596679687,"52.408861,-1.825003",2018-10-27 11:45:00+00:00,,,,,,,521,220,800044,1989-03-03 11:45:00,1
181027121530,,SOLIHULL_20181003,181003150447,6750,,39128,68.630737304688,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,8,10,20,23,27,40,43,57,77,0,89,91,121,103,75,57,26,12,6,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3624,19796,6.2285083007813,"52.408861,-1.825003",2018-10-27 12:00:00+00:00,,,,,,,521,220,800044,1989-03-03 12:00:00,1
181027123033,,SOLIHULL_20181003,181003150447,6736,,41284,72.74298095703101,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,17,17,25,36,34,31,30,32,46,0,61,100,141,106,86,65,29,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6225,19728,6.046181640625,"52.408861,-1.825003",2018-10-27 12:15:00+00:00,,,,,,,521,220,800044,1989-03-03 12:15:00,1
181027124531,,SOLIHULL_20181003,181003150447,6710,,43496,76.962036132812,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,25,24,53,44,48,56,46,54,0,78,94,108,90,77,42,25,11,2,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5484,19680,5.91748046875,"52.408861,-1.825003",2018-10-27 12:30:00+00:00,,,,,,,521,220,800044,1989-03-03 12:30:00,1
